,Product Name,Product type,Product catogary,Product THC,Product OZ,Product Price,Product Image,Product Detail
10,Wedding Crasher Ground Flower 7g,Curaleaf,Hybrid,THC: 15%,1/4 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Wedding Crasher Ground Flower 7g.jpg,"Curaleaf cannabis is conveniently packaged in a 0.125 oz container. THCA varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average does for this product is 3mg, two times per day. Cost is based on average dosing for this product- 30-day supply is $16, a 50- day supply is $27, and a 70- day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70- day supply cost is based on average doses and may not apply to all patients."
11,Strawberry Diesel Tier 2 Flower,Curaleaf,Hybrid,THC: 15.1%  |  CBD: 0.03%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Strawberry Diesel Tier 2 Flower.jpg,"Strawberry Diesel is one of the more adaptable strains in our library. Amazing for use when you may need to be both focused and uplifted. This strain offers a delicious pairing of sweet strawberries, florals and a slight gassy undertone; saying its one of our top strains is a understatement."
12,F(Shake)-Cinderella XX-7g-S,Curaleaf,Sativa,THC: 15.5%,1/4 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/F(Shake)-Cinderella XX-7g-S.jpg,"Curaleaf cannabis is conveniently packaged in a 0.25 oz container. THCA varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average does for this product is 3mg, two times per day. Cost is based on average dosing for this product- 30-day supply is $16, a 50- day supply is $27, and a 70- day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70- day supply cost is based on average doses and may not apply to all patients."
13,Pai Gow Ground Flower,Curaleaf,Hybrid,THC: 15.7%,1/4 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Pai Gow Ground Flower.jpg, 
14,Orange Kush Cake Tier 2 Flower,Curaleaf,Indica,THC: 16.3%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Orange Kush Cake Tier 2 Flower.jpg,"Orange Kush Cake, also known as OKC has a rich, complicated terpene profile including notes of sharp orange, citrus gas, sour candy, dried grapes, and even earthly sandalwood notes. If a strain could be a deep breath this is it, this Indica dominate hybrid has been know to bring a sense of calm and euphoria amongst its users - A Must try!"
15,Cinderella XX Tier 2 Flower,Curaleaf,Sativa,THC: 16.3%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Cinderella XX Tier 2 Flower.jpg,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.
16,Emerald City Kush Tier 3 Flower,Curaleaf,Hybrid,THC: 16.6%,1/8 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Emerald City Kush Tier 3 Flower.jpg, 
17,Emerald City Kush Tier 2 Flower,Curaleaf,Hybrid,THC: 16.6%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Emerald City Kush Tier 2 Flower.jpg,"Curaleaf cannabis flower is conveniently packaged in a 0.125 oz container. THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $16, a 50-day supply is $27, and a 70-day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
18,Grimm Glue Tier 2 Flower,Curaleaf,Hybrid,THC: 17%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Grimm Glue Tier 2 Flower.jpg, 
19,Bubba Punch Tier 2 Flower,Curaleaf,Indica,THC: 17%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Bubba Punch Tier 2 Flower.jpg,"Curaleaf cannabis flower is conveniently packaged in a 3.5g container. THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $16, a 50-day supply is $27, and a 70-day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
20,Purple Sunset Tier 2 Flower,Curaleaf,Indica,THC: 17.4%  |  CBD: 0.03%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Purple Sunset Tier 2 Flower.jpg,Purple Sunset is known for its distinct berry like aroma and flavor with slight spiced undertones and a soft layer of citrus. As you would expect with most purple strains Purple Sunset offers a calming experience that is known to have a pleasant almost vibrational feeling that’s smooth and mellow. Have you ever fallen asleep with a grin on your face? If not try this one and you just might.
21,GMO Tang Tier 2 Flower,Curaleaf,Sativa,THC: 17.5%  |  CBD: 0.08%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/GMO Tang Tier 2 Flower.jpg,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.
22,Pai Gow Tier 2 Flower,Curaleaf,Hybrid,THC: 17.5%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Pai Gow Tier 2 Flower.jpg,"This heavy hitting sativa hybrid– dominant strain, is a cross between Silver Haze and Critical Jack. Pai Gow has a reputation of inspiring creativity leaving you feeling motivated and inspired. Perfect mid-day kind of a strain because when the effects wear off users expressed feeling both balanced and calm."
23,Strawberry Diesel Mini Buds Flower,Curaleaf,Hybrid,THC: 17.6%,1/8 oz -,$12.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Strawberry Diesel Mini Buds Flower.jpg, 
24,Ice Cream Haze Tier 2 Flower,Curaleaf,Hybrid,THC: 18.9%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Ice Cream Haze Tier 2 Flower.jpg,"Curaleaf cannabis flower is conveniently packaged in a 3.5g container. THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $16, a 50-day supply is $27, and a 70-day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
25,Fog Dog Tier 2 Flower,Curaleaf,Hybrid,THC: 19.3%,1/8 oz -,$20.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Fog Dog Tier 2 Flower.jpg,"Curaleaf cannabis flower is conveniently packaged in a 0.125 oz container. THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $16, a 50-day supply is $27, and a 70-day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
26,GMO Tang Tier 3 Flower,Curaleaf,Sativa,THC: 20.7%,1/8 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/GMO Tang Tier 3 Flower.jpg,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.
27,Ice Cream Haze Tier 3 Flower,Curaleaf,Hybrid,THC: 21.3%,1/8 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Ice Cream Haze Tier 3 Flower.jpg,"Curaleaf cannabis flower is conveniently packaged in a 3.5g container. THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $16, a 50-day supply is $27, and a 70-day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
28,Frosted Motorbreath Tier 3,Curaleaf,Indica,THC: 22%,1/8 oz -,$25.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Frosted Motorbreath Tier 3.jpg,"Curaleaf cannabis flower is conveniently packaged in a 0.125 oz container. THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $16, a 50-day supply is $27, and a 70-day supply is $38. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
29,Afghani Pre-Roll | 1g,Curaleaf,Indica,THC: 7.52%,1g -,$6.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Afghani Pre-Roll | 1g.jpg,"Curaleaf pre-rolls contain approximate 0.035 oz of cannabis flower. Rolled with the finest natural paper made with organic Arabic gum. Single pre-rolls, conveniently packaged in a resealable bag . THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration"
30,Strawberry Diesel Pre-Roll | 1g,Curaleaf,Hybrid,THC: 11%,1g -,$6.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Strawberry Diesel Pre-Roll | 1g.jpg, 
31,Orange Kush Cake Pre-Roll | 1g,Curaleaf,Indica,THC: 11.1%,1g -,$6.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Orange Kush Cake Pre-Roll | 1g.jpg, 
32,Grease Gun Pre-Roll | 1g,Curaleaf,Hybrid,THC: 11.5%,1g -,$6.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Grease Gun Pre-Roll | 1g.jpg,"Curaleaf pre-rolls contain approximate 0.035 oz of cannabis flower. Rolled with the finest natural paper made with organic Arabic gum. Single pre-rolls, conveniently packaged in a resealable bag . THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration"
33,Grimm Glue Pre-Roll | 1g,Curaleaf,Hybrid,THC: 11.5%,1g -,$6.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Grimm Glue Pre-Roll | 1g.jpg,"Curaleaf pre-rolls contain approximate 0.035 oz of cannabis flower. Rolled with the finest natural paper made with organic Arabic gum. Single pre-rolls, conveniently packaged in a resealable bag . THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration."
34,Ice Cream Haze Pre-Roll | 1g,Curaleaf,Hybrid,THC: 11.8%,1g -,$6.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Ice Cream Haze Pre-Roll | 1g.jpg,"Curaleaf pre-rolls contain approximate 0.035 oz of cannabis flower. Rolled with the finest natural paper made with organic Arabic gum. Single pre-rolls, conveniently packaged in a resealable bag . THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration"
35,Rosetta Stone THC Shorty Pre-Rolls | 0.8g,Curaleaf,Hybrid,THC: 14.1%,0.8g -,$6.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Rosetta Stone THC Shorty Pre-Rolls | 0.8g.jpg,Shorty pre-rolls come in 2 per pack. Each shorty pre-roll contains approximately 0.4g of cannabis flower. Pre-rolls allow patients to experience the entourage effect of medical cannabis. Curaleaf pre-rolls are rolled with the finest natural paper made with organic Arabic gum and are conveniently packaged. THCA content varies by harvest. This product must be stored and transported in its original packaging to comply with Florida law. Available for patients with a smoking route of administration.
36,F(PR)-Cinderella XX-1g-S,Curaleaf,Sativa,THC: 18.9%,1g -,$6.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/F(PR)-Cinderella XX-1g-S.jpg,"Curaleaf pre-rolls contain approximate 0.035 oz of cannabis flower. Rolled with the finest natural paper made with organic Arabic gum. Single pre-rolls, conveniently packaged in a resealable bag . THCA content varies by harvest. This product must be stored and transported in its original packaging at all times to comply with Florida law. Available for patients with smoking route of administration."
37,Blue Dream Cartridge | 0.5g,Curaleaf,Hybrid,THC: 73%  |  CBD: 0.28%,.5g -,$24.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Blue Dream Cartridge | 0.5g.jpg,"Curaleaf premium CO2 extracted vape pen cartridge is filled with highly refined cannabis oil and natural terpenes. Curaleaf s CO2 extraction process ensures that our vape products do not contain any butane or other hydrocarbon-based solvents and are free from petrochemical derivatives. Inhalation is the fastest-acting method of administration, with a typical onset of effect within 90 seconds. Vaporization delivers cannabinoids in a manner that can be easily titrated to the desired effect. THC content varies by harvest. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $22, a 50-day supply is $36, and a 70-day supply is $50. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
38,Bubba Kush Cartridge | 0.5g,Curaleaf,Indica,THC: 78.53%  |  CBD: 0.42%,.5g -,$24.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Bubba Kush Cartridge | 0.5g.jpg, 
39,Harlequin Cartridge | 0.5g,Curaleaf,Sativa,THC: 72.8%  |  CBD: 0.14%,.5g -,$24.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Harlequin Cartridge | 0.5g.jpg,"Curaleaf premium CO2 extracted vape pen cartridge is filled with highly refined cannabis oil and natural terpenes. Curaleaf s CO2 extraction process ensures that our vape products do not contain any butane or other hydrocarbon-based solvents and are free from petrochemical derivatives. Inhalation is the fastest-acting method of administration, with a typical onset of effect within 90 seconds. Vaporization delivers cannabinoids in a manner that can be easily titrated to the desired effect. THC content varies by harvest. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $22, a 50-day supply is $36, and a 70-day supply is $50. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
40,Lemon Skunk Cartridge | 0.5g,Curaleaf,Sativa,THC: 74.34%  |  CBD: 0.15%,.5g -,$24.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Lemon Skunk Cartridge | 0.5g.jpg, 
41,Pink Champagne THC Cartridge | 0.5g,Curaleaf,Indica,THC: 78.65%  |  CBD: 0.24%,.5g -,$24.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Pink Champagne THC Cartridge | 0.5g.jpg,"Curaleaf premium CO2 extracted vape pen cartridge is filled with highly refined cannabis oil and natural terpenes. Curaleaf s CO2 extraction process ensures that our vape products do not contain any butane or other hydrocarbon-based solvents and are free from petrochemical derivatives. Inhalation is the fastest-acting method of administration, with a typical onset of effect within 90 seconds. Vaporization delivers cannabinoids in a manner that can be easily titrated to the desired effect. THC content varies by harvest. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $22, a 50-day supply is $36, and a 70-day supply is $50. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
42,Platinum Kush THC Cartridge | 0.5g,Curaleaf,Indica,THC: 86.9%  |  CBD: 0.2%,.5g -,$24.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Platinum Kush THC Cartridge | 0.5g.jpg, 
43,Silver Haze THC Cartridge | 0.5g,Curaleaf,Sativa,THC: 70.04%  |  CBD: 0.15%,.5g -,$24.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Silver Haze THC Cartridge | 0.5g.jpg, 
44,Maui Wowie Cartridge | 0.5g,Curaleaf,Sativa,THC: 75.34%  |  CBD: 0.24%,.5g -,$24.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Maui Wowie Cartridge | 0.5g.jpg,"Curaleaf premium CO2 extracted vape pen cartridge is filled with highly refined cannabis oil and natural terpenes. Curaleaf s CO2 extraction process ensures that our vape products do not contain any butane or other hydrocarbon-based solvents and are free from petrochemical derivatives. Inhalation is the fastest-acting method of administration, with a typical onset of effect within 90 seconds. Vaporization delivers cannabinoids in a manner that can be easily titrated to the desired effect. THC content varies by harvest. The average dose for this product is 3mg, two times per day. Cost is based on average dosing for this product - 30-day supply is $22, a 50-day supply is $36, and a 70-day supply is $50. Patients must consult a certified physician to obtain the dose that works best based on their medical condition. 30, 50, 70-day supply cost is based on average doses and may not apply to all patients"
45,Face on Fire Elite Cliq Kit | 0.5g,Select,Indica,THC: 75%  |  CBD: 0.21%,.5g -,$30.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Face on Fire Elite Cliq Kit | 0.5g.jpg, 
46,Flo Elite Cliq Cartridge 0.5 g,Select,Sativa,THC: 79.93%  |  CBD: 0.46%,.5g -,$27.50, ,"a contoured pod well and ceramic core heating element. Each pod features 0.5 g or 1g of premium cannabis oil and cannabis terpenes. Cliq pods deliver medication via inhalation. Select holds their oil to the highest standards with the most stringent & progressive testing in the industry. They were the first company to begin proactively testing for a full panel of 66 analytes at the PPB (Parts Per Billion) level. Select uses Ethanol Hash Oil extraction methods, allowing for the greatest levels of cannabinoid retention. Select’s thoughtful terpene preservation process delivers an unmatched oil, superior in quality & potency. The strain of marijuana from which it was extracted, cannabidiol content, tetrahydrocannabinol content will vary by harvest."
47,Fresh-Berry Gelato THC Cartridge | 0.3g,Select,Hybrid,THC: 83.82%  |  CBD: 0.28%,.3g -,$15.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Fresh-Berry Gelato THC Cartridge | 0.3g.jpg, 
48,Fresh-Sherbet THC Cartridge | 0.3g,Select,Hybrid,THC: 80.92%  |  CBD: 0.56%,.3g -,$15.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Fresh-Sherbet THC Cartridge | 0.3g.jpg, 
49,Fresh-Super Lemon Haze THC Cartridge | 0.3g,Select,Sativa,THC: 75.38%  |  CBD: 0.25%,.3g -,$15.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Fresh-Super Lemon Haze THC Cartridge | 0.3g.jpg,"Select Fresh Go Cartridges are filled with Cannabis Distillate and fruit forward botanical terpenes. The Go Cartridge hardware can be paired for use with the Go Battery (sold separately) for discreet portability and easy recharging. Inhalation is the fastest-acting method of administration, with typical onset of 90 seconds. Vaporization delivers cannabinoids in a manner that can be easily titrated to the desired effect."
50,Gelato Elite Cliq Kit | 0.5g,Select,Hybrid,THC: 69.42%  |  CBD: 0.19%,.5g -,$30.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Gelato Elite Cliq Kit | 0.5g.jpg,"a contoured pod well and ceramic core heating element. Each pod features 0.5 g or 1g of premium cannabis oil and cannabis terpenes. Cliq pods deliver medication via inhalation. Select holds their oil to the highest standards with the most stringent & progressive testing in the industry. They were the first company to begin proactively testing for a full panel of 66 analytes at the PPB (Parts Per Billion) level. Select uses Ethanol Hash Oil extraction methods, allowing for the greatest levels of cannabinoid retention. Select’s thoughtful terpene preservation process delivers an unmatched oil, superior in quality & potency. The strain of marijuana from which it was extracted, cannabidiol content, tetrahydrocannabinol content will vary by harvest."
51,Hawaiian Elite Cliq Cartridge | 0.5g,Select,Sativa,THC: 75.06%  |  CBD: 0.33%,.5g -,$27.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Hawaiian Elite Cliq Cartridge | 0.5g.jpg,"a contoured pod well and ceramic core heating element. Each pod features 0.5 g or 1g of premium cannabis oil and cannabis terpenes. Cliq pods deliver medication via inhalation. Select holds their oil to the highest standards with the most stringent & progressive testing in the industry. They were the first company to begin proactively testing for a full panel of 66 analytes at the PPB (Parts Per Billion) level. Select uses Ethanol Hash Oil extraction methods, allowing for the greatest levels of cannabinoid retention. Select’s thoughtful terpene preservation process delivers an unmatched oil, superior in quality & potency. The strain of marijuana from which it was extracted, cannabidiol content, tetrahydrocannabinol content will vary by harvest."
52,Ice Cream Haze Live Rosin Cartridge | 0.5g,Select,Hybrid,THC: 68.34%  |  CBD: 0.17%,.5g -,$65.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Ice Cream Haze Live Rosin Cartridge | 0.5g.jpg, 
53,Jack Herer Elite Cliq Cartridge | 1g,Select,Sativa,THC: 85.47%  |  CBD: 0.24%,1g -,$45.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Jack Herer Elite Cliq Cartridge | 1g.jpg, 
54,Jack Herer Elite Cliq Kit | 0.5g,Select,Sativa,THC: 71.04%  |  CBD: 0.15%,.5g -,$30.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Jack Herer Elite Cliq Kit | 0.5g.jpg, 
55,Orange Kush Cake LLR THC Cartridge | 0.5g,Select,Indica,THC: 78.84%  |  CBD: 0.17%,.5g -,$32.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Orange Kush Cake LLR THC Cartridge | 0.5g.jpg,"Orange Kush Cake, also known as OKC has a rich, complicated terpene profile including notes of sharp orange, citrus gas, sour candy, dried grapes, and even earthly sandalwood notes. If a strain could be a deep breath this is it, this Indica dominate hybrid has been know to bring a sense of calm and euphoria amongst its users - A Must try!"
56,Strawberry Diesel Elite Live Resin Cartridge | 0.5g,Select,Hybrid,THC: 74%  |  CBD: 0.31%,.5g -,$32.50,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Strawberry Diesel Elite Live Resin Cartridge | 0.5g.jpg, 
57,Strawberry Diesel Live Rosin Cartridge | 0.5g,Select,Hybrid,THC: 71.23%  |  CBD: 0.34%,.5g -,$65.00,/home/astirmind/Downloads/Justdial-Scraper-master/curaleaf/photos/Strawberry Diesel Live Rosin Cartridge | 0.5g.jpg, 
